Code,Description,Sell Price Exc. VAT,Sell Price Inc. VAT
ENROTRON1L,Enrotron (Enrofloxacin 100mg/ml) Oral Solution (per 1L bottle),177.78,213.34
ENROXBOX,Enrox (Enrofloxacin) 150mg  (per box of 100 tablets),319.00,382.80
ENROXTAB,Enrox (Enrofloxacin) 150mg (per tablet),3.19,3.83
EPIDIDDOG,Epididymal Sperm Recovery from Dog Testes (Incl all extender and consumables),150.80,180.96
EPIDIDSTALLION,Epididymal Sperm Recovery from Stallion Testes (Incl all extender and consumables),294.58,353.50
EQUESTPBOX,Equest Pramox Oral Wormer,526.97,632.37
EQUESTP1,Equest Pramox Oral Wormer,26.35,31.62
EQUIBACTBOX,Equibactin sachets (box of 10 sachets),48.30,57.96
TETVACCBOX,Equilis Te (Tetanus Vaccine) (per box of 10 vials),203.44,244.13
TETVACCML,Equilis Te Booster (Tetanus Vaccine) (per ml),20.34,24.41
CONSULTBRIEF,Equine Consultation,51.48,61.78
CONSULT,Equine Consultation,51.48,61.78
CONSULTPROLONG,Equine Consultation Prolonged,78.00,93.60
CONSULTFOLLOWUP,Equine Follow-Up Consultation,37.44,44.93
FOSTERPERHOUR,Equine Fostering Procedure (per hour),113.82,136.58
FOSTER,Equine Fostering Procedure (per hour),187.20,224.64
EHVPCR,"Equine Herpes Virus 1,4 (EHV) qPCR (Rainbow Lab)",42.00,50.40
EHV,"Equine Herpes Virus 1,4 (EHV) Serology (Rainbow Lab)",42.00,50.40
EMP,Equine Medication Panel,320.00,384.00
EMPBUNDLE,Equine Medication Panel Bundle,0.00,0.00
EMSREH,"Equine Metabolic Syndrome (EMS) Panel - Insulin, Adiponectin, Glucose, Triglycerides (Rainbow Lab)",56.00,67.20
CONSULTOOH,Equine Out Of Hours Consultation,102.96,123.55
HORSEPROG,Equine Progesterone Blood Test,43.92,52.70
EQREMCON,Equine Remote Consultation & Prescribing,26.78,32.14
EQREMCONOOH,Equine Remote Consultation & Prescribing (Out of Hours),37.49,44.99
VS,Equine Vaginal Speculum (single use) (per pack of 50),204.94,245.93
VSC,Equine Vaginal Speculum (single use) (per speculum),4.10,4.92
EQUIOXXBOX,Equioxx Chew Tablets Firocoxib 57mg (per box of 60),100.83,121.00
EHVBOX,"Equip EHV 1,4 Vaccination (per box of 10x 1ml vials)",466.65,559.98
EHVDOSE,"Equip EHV 1,4 Vaccination (per ml)",46.67,56.00
ROTABOX,Equip Rotavirus Vaccination (per box of 10x 1ml vial),712.91,855.49
ROTADOSE,Equip Rotavirus Vaccination (per ml),71.29,85.55
BUTEINJBOT,Equipalazone (Phenylbutazone 200mg/ml) Injectable (per 50ml bottle),70.88,85.05
BUTEINJML,Equipalazone (Phenylbutazone 200mg/ml) Injectable (per ml),1.42,1.70
BUTEBOX,Equipalazone (Phenylbutazone/Bute) Oral (Box of 100 Sachets),109.00,130.80
BUTESACH,Equipalazone (Phenylbutazone/Bute) Oral (per sachet),1.20,1.44
BUTEPASTE,Equipalazone Bute Paste (per 36g syringe),36.43,43.72
EQUIPREDBOX,Equipred 50mg Prednisolone Tablets (per box of 100),85.14,102.17
EQUIPREDTAB,Equipred 50mg Prednisolone Tablets (per tablet),0.85,1.02
ETMP1.5TUB,Equitop Myoplast Protein Supplement (per 1.5kg tub),93.46,93.46
ERTUGPASTE,Ertugliflozin 5mg/ml Oral Paste (per 100ml tub),157.96,189.55
ESOMEPTUBE,Esomeprazole 100mg/ml Oral Paste (per 12ml tube),26.33,31.59
ESOMEPBOX,Esomeprazole 40mg Oral Capsules (per box of 28),11.45,13.74
PGBOT,Estrumate (Cloprostenol) (PG) 250ug/ml (per 10ml bottle),47.81,57.37
PGML,Estrumate (Cloprostenol) (PG) 250ug/ml (per ml),4.78,5.74
EXPORT,"EU Export Certification (Incl Pre-Export Documentation, Clinical Exam & Final Export Cert",144.61,173.53
EURICANHERPES,Eurican Herpes (CHV) Vaccine (per dose),49.43,59.31
EUTHANIMALBOT,Euthanimal (400mg/ml Pentobarbitol) Inj (per 100ml bottle),45.88,55.06
EUTHANIMALML,Euthanimal (400mg/ml Pentobarbitol) Inj (per ml),0.46,0.55
EUTHDOGCAT,Euthanise Dog/Cat,71.50,85.80
EUTHFARM,Euthanise Farm Animal,44.63,53.56
EUTHHORSE,Euthanise Horse,90.50,108.60
EUTHASOLBOT,Euthasol (400mg/ml Pentobarbitol) Inj (per 100ml bottle),74.64,89.57
EUTHASOLML,Euthasol (400mg/ml Pentobarbitol) Injectable (per ml),0.75,0.90
EVA,EVA Serology ELISA (Rainbow Lab),17.00,20.40
EXAMCERT,Examine & Certify Horse,64.48,77.38
EXAMEYE,Examine Eye,52.49,62.99
EXAMPLACENTA,Examine Placenta and Amnion,37.44,44.93
EXAMMARE,Examine Post-Foaling Mare (including internal manual palpation),68.02,81.62
EXCISEHYMEN,Excise Hymenal Tissue Remnant,62.67,75.20
TOOTH,Extract Tooth (per extraction),63.20,75.84
WOLF,Extract Wolf Tooth (per extraction),28.39,34.07
6002696,EzyVet test,1.00,1.20
FAECALROTACRYPTO,Faecal Rotavirus & Cryptosporidium Test,57.50,69.00
CLOSTPERF,Faecal Test for Clostridia perfringens toxin,39.63,47.56
WORMDISCOUNT,Faecal WEC,11.25,13.50
WORM,Faecal Worm Egg Count (Rainbow Lab),15.00,18.00
CONSULTCAT,Feline Consultation,42.85,51.42
FENFLORBOT,Fenflor 300mg/ml Injection (per 100ml bottle),26.46,31.75
FENFLORML,Fenflor 300mg/ml Injection (per ml),0.26,0.32
AMPUTATE,Fetotomy Wire Limb Amputation (post-mortem),85.16,102.19
FEXOFENTAB,Fexofenadine 120mg (per tablet),0.59,0.70
FEXOFENBOX,Fexofenadine 120mg tablets (per box of 30 tablets),17.58,21.10
FIBRINOGEN,Fibrinogen Blood Test (Rainbow Lab),12.50,15.00
FINADYNEBOT,Finadyne (Flunixin Meglumine 50mg/ml) Inj (per 100ml bottle),140.00,168.00
FINADYNEML,Finadyne (Flunixin Meglumine 50mg/ml) Injectable (per ml),1.40,1.68
FINADYNEPASTEBOX,Finadyne Oral Paste (per box of 6 syringes),103.44,124.13
FINADYNEPASTESYR,Finadyne Oral Paste (per tube),17.24,20.69
FINASTBOX,Finasteride 5mg Oral (per box of 28 tablets),18.72,22.46
FINASTTAB,Finasteride 5mg Oral (per tablet),0.67,0.80
FNA,Fine Needle Aspirate Mass/Cyst,24.10,28.92
FINILACBOT,Finilac (50ug/ml Cabergoline) Oral Solution (per 15ml bottle),66.46,79.75
ONLINESALEVETTING5STAGE,Five Stage Online Sale Vetting Examination,350.00,420.00
VETTING5STAGE,Five Stage Pre Purchase Vetting Examination (includes 6 months VDS blood storage),338.33,406.00
FLAMAZINETUB,Flamazine Cream (per 500g tub),53.09,63.71
FLAMAZINETUBE,Flamazine Cream (per 50g tube),14.08,16.90
FLIXOTIDE250,Flixotide 250mcg Evohaler (120 dose) Inhaler,71.48,85.77
FLUBOX,Flu Vaccination (Proteq Flu) (per box of 10x 1ml vials),332.23,398.68
FLUDOSE,Flu Vaccination (Proteq Flu) (per ml),33.22,39.87
FTBOX,Flu-Tet Vaccination (Proteq Flu-Te) (per box of 10x 1ml vials),367.15,440.58
FTDOSE,Flu-Tet Vaccination (Proteq Flu-Te) (per ml),36.72,44.06
AXIOMCYSTF,Fluid Cytology from Mass/Cyst (Axiom Laboratories),62.18,74.61
FLUORESBOX,Fluorescein Eye Drops (per box of 20 vials),38.86,46.63
FLUORESMIN,Fluorescein Eye Drops (per vial),1.94,2.33
FLUORESBUNDLE,Fluorescein Eye Test,0.00,0.00
TEARDUCT,Flush Tear Duct,57.20,68.64
IGG,Foal IgG (Rainbow Lab),18.00,21.60
FOALCONFORM,Foal Limb Conformation Assessment,29.46,35.35
FOALCONFORMSCH,Foal Limb Conformation Assessment (Scheme),0.00,0.00
FOALING1,Foaling - Assisted Delivery,123.19,147.83
FOALING2,Foaling - Dystocia Resolution and Assisted Delivery,251.73,302.08
FOALING3,Foaling - Severe Dystocia Resolution and Assisted Delivery,369.56,443.47
VLEAKEFOC,FOC Call-Out Leake Stud,0.00,0.00
FOETALSEXING,Foetal Sex Determination,114.40,137.28
FOLEY14FR,Foley Catheter 30cm 14 French (per catheter),8.09,9.70
SPECCONSULTFOLLOWUP,Follow-Up Specialist Reproductive Consultation,133.90,160.68
FORCEP,"Forceps Rat Tooth 5""",2.71,3.25
FORMTEXBOX,Formtex Poultice Bandage (per box of 12),132.73,159.27
FORMTEXROLL,Formtex Poultice Bandage (per roll),11.06,13.27
AXIOMFREET4,Free T4 (Gold Standard Dialysis) (Axiom Lab),57.21,68.65
FRONTLINE250,Frontline Spray (per 250ml bottle),35.63,42.76
FRZ1ST,Frozen AI Package FIRST CYCLE,535.83,643.00
FRZSUB,Frozen AI Package SUBSEQUENT CYCLE,455.00,546.00
FROZENSEMENDISTRIB1,"Frozen Semen Distrib (incl straw processing & transfer, flask nitrogen top-up, sealing, packaging)",96.41,115.69
FROZENHANDLING,Frozen Semen Handling (incl a/c creation+transfer btwn storage/transport tanks),64.27,77.12
EQSTORAGE20,Frozen Semen Storage per stallion (10 to 20 doses) (per month),16.12,19.34
FROZENSTORAGE50,Frozen Semen Storage per stallion (21-50 doses) (per month),19.24,23.09
EQSTORAGE10,Frozen Semen Storage per stallion (5 to 10 doses) (per month),9.88,11.86
FROZENSTORAGE150,Frozen Semen Storage per stallion (51-150 doses) (per month),26.78,32.14
EQSTORAGE5,Frozen Semen Storage per stallion (up to 5 doses) (per month),7.02,8.42
FUCIBET,Fucibet Cream (per 30g tube),19.43,23.32
XRAYSALES36,Full Set of Sales Radiographs (36 views) (incl upload to cloud/repository),513.24,615.89
FUNGALCULT,Fungal Microscopy and Culture (Rainbow Lab),37.50,45.00
GALASTOPBOT,Galastop (50ug/ml Cabergoline) Oral Solution (per 15ml bottle),71.32,85.58
GASTROGARDBOX,Gastrogard Paste 370mg/gram (per box of 14),170.00,204.00
GASTROSC,Gastroscopy (Endoscopic Examination of Oesophagus & Stomach),160.68,192.82
GAUZEROLL,Gauze Roll,6.50,7.80
GAUZE10,Gauze Swabs (10cm x 10cm 8 Ply) (per pack),5.54,6.65
GAUZE7,Gauze Swabs (7.5cm x 7.5cm 8 Ply) (per pack),4.32,5.18
GENTAEQBOT,Genta-Equine Gentamycin 10% Injectable (per 100ml bottle),164.90,197.88
GENTAEQML,Genta-Equine Gentamycin 10% Injectable (per ml),1.65,1.98
GENTADUGBOT,Gentadug 85mg/ml inj (per 100ml bottle),34.50,41.40
GENTADUGML,Gentadug 85mg/ml inj (per ml),0.35,0.41
GLANDERS,Glanders CFT Test (APHA),42.13,50.55
GLENWOODCHILL1ST,Glenwood Stud Chilled AI Package FIRST CYCLE,410.83,493.00
GLENWOODCHILLSUB,Glenwood Stud Chilled AI Package SUBSEQUENT CYCLES,325.00,390.00
GLENWOODFRZ1ST,Glenwood Stud Frozen AI Package FIRST CYCLE,535.83,643.00
GLENWOODFRZSUB,Glenwood Stud Frozen AI Package SUBSEQUENT CYCLES,455.00,546.00
GLUCOSEBOX,Glucose Injection 10g/20ml (per box of 10x 20ml ampoules),86.60,103.92
GLUCOSEML,Glucose Injection 10g/20ml (per ml),6.38,7.66
GCTLAB,Granulosa Cell Tumour Panel (Rainbow Lab),110.00,132.00
GPWASH,Guttural Pouch Wash (includes sterile fluid and consumables),56.16,67.39
GPWASHBUNDLE,Guttural Pouch Wash Bundle,0.00,0.00
TRGPWASHBUNDLE,Guttural Pouch Wash Bundle (Trainers Special Discount),0.00,0.00
HAEMATOLREH,Haematology (Blood Cell Profile) (Rainbow Lab),29.50,35.40
HLR,Hartmann's Lactated Ringer Solution (per 1000ml bottle),4.67,5.60
HEMO15BOT,Hemo-15 (per 100ml bottle),80.10,96.12
HEMO15ML,Hemo-15 (per ml),0.80,0.96
COLONAID3.2,Hestevard Colonaid (per 3.2Kg tub),90.00,90.00
DURAENAT,Hestevard Dura-E  Natural 1L,121.00,121.00
HEPALYTE1,Hestevard Hepalyte Liquid 1L,91.50,91.50
PROFIXBIND,Hestevard Profix +BIND (per box of 20 sachets),46.67,46.67
PROFIXPASTE30,Hestevard Profix Advanced Paste (per 30ml syringe),21.66,21.66
SMECTI2.5TUB,Hestevard Smectizorb (BioSponge) (per 2.5kg tub),45.54,45.54
SMECTI500C,Hestevard Smectizorb (BioSponge) (per 500g course),9.11,10.93
HVUL,High Volume Uterine Lavage,53.56,64.27
HILLS12,Hills Canine Metabolic & Mobility (per 12kg bag),65.51,78.61
HILLS4,Hills Canine Metabolic & Mobility (per 4kg bag),33.70,40.44
TEASERBITCHHIRE,Hire of In-Season Teaser Bitch,43.33,52.00
HISTO,Histopathology (Rossdales Lab),60.05,72.06
HPA,Horse Passport Agency ID & Chip,70.00,84.00
FOALIDCHIP,"Horse/Foal ID Markings, Microchip, +/-DNA, Certification & Postage",93.60,112.32
HY50,HY-50 (Sodium Hyaluronate) Injection (per 3ml syringe),125.11,150.13
HYDROCORT15,Hydrocortisone 1% Topical Cream (per 15g tube),7.49,8.98
HYDROCORT50,Hydrocortisone 1% Topical Cream (per 50g tube),16.76,20.11
HP,Hydrogen Peroxide 6% liquid (per 10x 1L bottle),65.20,78.24
HYPERMUNERE,Hypermune Plasma RE (per 1L bag),437.00,524.40
HYSTEROPGE,Hysteroscopic Application of PGE to Oviductal Papillae,208.00,249.60
IHDIARRH,"IH Diarrhoea Profile (Clostridium diff, Clostridium perf, Rotavirus, Cryptosporidium)",88.64,106.37
IMAVEROL,Imaverol (Enilconazole) Topical Liquid (per 100ml bottle),49.52,59.42
IMPORTDUTY,Import Duty Costs- Disbursement,322.01,322.01
IMPROVACBOT,Improvac GNRF Vaccine (per 100ml bottle),2916.50,3499.80
IMPROVACDOSE,Improvac GNRF Vaccine (per 2ml dose),58.33,70.00
LUBE500ML,IMS Thick Vet Lube (per 500ml bottle),3.21,3.85
LUBE5L,IMS Thick Vet Lube (per 5L bottle),11.28,13.54
VWOOD,Individual Visit Wood,37.44,44.93
ANAESTHETISE,"Induction, Maintenance & Monitoring of Anaesthesia (per 30 mins)",85.70,102.84
6002419,Inj Fee Test,4.17,5.00
INJECTCUPS,Inject Endometrial Cups,32.14,38.57
INJFEE,Injection Service Fee,5.95,7.14
INRA96,Inra 96,31.32,37.58
INSEM,Inseminate Mare Chilled/Fresh (incl routine semen assessment & certification),57.20,68.64
INSEMSCH,Inseminate Mare Chilled/Frozen SCHEME  (incl routine semen assessment & certification),0.00,0.00
PRIDINBUNDLE,INSERT Progesterone-Releasing Intravaginal Device,0.00,0.00
PRIDIN,INSERT Progesterone-Releasing Intravaginal Device (PRID),25.50,30.60
INSOLDOSE,Insol Dermatophyton Vaccine (per 2ml dose),123.87,148.64
INSOLBOX,Insol Dermatophyton Vaccine (per 5 vials of 2ml),1238.66,1486.39
INSULIN,Insulin Blood Lab Fee (Rainbow Lab),27.50,33.00
INSADMIN,Insurance Claim Administration Charge for completion of insurance forms by a Veterinary Surgeon,26.00,31.20
INSCONT,Insurance Claim Administration Charge for completion of subsequent insurance forms by a Veterinary S,0.00,0.00
INTRAEPVIAL,Intra-Epicaine (Mepivacaine 2%) Injectable (per 10ml single use vial),14.83,17.79
INTRAEPBOX,Intra-Epicaine (Mepivacaine 2%) Injectable (per box of 6x 10ml vials) (Local Anaesthetic),88.95,106.74
ORALEXAM,Intra-Oral Examination,48.20,57.84
SUPPOSITORY,Intrarectal Administration Fee,25.74,30.89
IGBOX,Intrasite Wound Hydrogel (per box of 10x 25g tube),78.08,93.70
INTRAUTEADFEE,Intrauterine administration fee,37.44,44.93
INFUSPEN,Intrauterine Antibiotic Infusion (Procaine Penicillin + Sterile Saline),43.16,51.79
INFUSPENGENT,"Intrauterine Antibiotic Infusion (Procaine Penicillin, Gentamycin, Sterile Saline)",51.48,61.78
UTEINFUSBUNDLE,Intrauterine Antimicrobial Infusion,0.00,0.00
INFUSPEROX,Intrauterine Antimicrobial Infusion (60ml H₂O₂ 1% with sterile Hartmann's Solution),36.40,43.68
COCONUT,Intrauterine Coconut Oil Dioestrus Instillation,36.15,43.38
UTEINFUS,Intrauterine Infusion,36.40,43.68
INFUSKERO,Intrauterine Instillation of 120ml Kerosene via Uterine Lavage Catheter,32.67,39.20
INFUSSAL,Intrauterine Sodium Chloride Luteolytic Infusion,36.40,43.68
FGS,"Intravenous Fluid Giving Set (standard, per set)",1.96,2.35
IVINJFEE,Intravenous Injection Service Fee,10.92,13.10
IVRP,Intravenous Regional Perfusion (IVRP),85.70,102.84
INVOKANABOX,Invokana (Canagliflozin) 300mg (per box of 30 tablets),100.45,120.53
INVOKANATAB,Invokana (Canagliflozin) 300mg (per tablet),3.34,4.01
IONISEDCALC,Ionised Calcium Blood Test (Rainbow Lab),22.00,26.40
ISS,Irripod Sterile Saline for wounds (per box of 25x 20ml pod),9.50,11.40
IVB,IV Bung (Injection cap) per 10 pack,2.75,3.30
JBKNEE,Joint Block - Carpus (Knee),73.81,88.57
JBFETLOCK,Joint Block - Fetlock,59.72,71.66
JBHOCK,Joint Block - Hock (TMT),73.81,88.57
KARIDOX1L,Karidox (100mg/ml doxycycline) Oral Solution (per 1 litre bottle),67.06,80.47
KARYOTYPINGTEXAS,Karyotyping (Gene Analysis) Texas A&M,351.85,351.85
KL,Kennel Liners,4.65,5.58
KETABELBOT,Ketabel Ketamine 100mg/ml Injectable (per 10ml vial),25.00,30.00
KETABELML,Ketabel Ketamine 100mg/ml Injectable (per ml),2.50,3.00
KF10,Knit-Firm Conforming Bandage 10cm (per roll),14.49,17.39
KF15,Knit-Firm Conforming Bandage 15cm (per roll),19.82,23.78
KF7,Knit-Firm Conforming Bandage 7cm (per roll),10.26,12.31
KAGL,Krutex Arm Length LARGE Gloves with Shoulder Protector (per box of 50),18.35,22.02
KAGS,Krutex Arm Length SMALL Gloves with Shoulder Protector (per box of 50),18.35,22.02
KEF,KRUUSE Equivet Funnel,34.24,41.09
UCSBOX,Kruuse Equivet Uterine Culture Swab (per pack of 10 swabs),46.84,56.21
UCSC,Kruuse Equivet Uterine Culture Swab (per swab),4.68,5.62
KIGGBOX,Kruuse IgG Snap Test (per box of 5 kits),81.23,97.47
KICBOX,Kruuse Insemination Catheter 60cm (per pack of 25),8.76,10.51
LABTESTSURCHARGE,"Lab Test After Hours Surcharge (weekends, public holidays)",28.39,34.07
LACTASEPOT,Lactase 350mg Tablets/Capsules (9000 FCC) (per pot of 60),16.50,19.80
LACTASETAB,Lactase 350mg Tablets/Capsules (9000 FCC) (per tablet),0.28,0.33
LAMENESS1,Lameness Examination,67.08,80.50
LAMENESSFOLLOWUP,Lameness Follow-Up / Re-examination,50.96,61.15
LAMINITISREH,"Laminitic Panel - ACTH, Insulin, Adiponectin, Glucose, Triglycerides (Rainbow L",77.00,92.40
LANCEABS,Lance and Drain Abscess/Haematoma/Seroma,58.50,70.20
LATEINTEREST8,Late Payment of Commercial Debts (Interest) Act 1998 Statutory 8%,0.00,0.00
LATEPAYMENT40,Late Payment of Commercial Debts Act 1998 Statutory Admin Fee,41.60,49.92
BITCHPREGFOETAL,Late Pregnancy US Scan and Foetal Viability Assessment,182.00,218.40
NGL,Latex/Nitrile Gloves LARGE (per box of 100),11.00,13.20
NGS,Latex/Nitrile Gloves SMALL (per box of 100),11.00,13.20
PEROXLAV,Lavage Uterus with 1L 0.5% Peroxide,49.92,59.90
ACETYLCYSTLAV,Lavage Uterus with 1L Sterile LRS with 6g Acetylcysteine,66.82,80.18
IODLAV,Lavage Uterus with 1L Sterile Povidone Iodine 1%,49.92,59.90
DMSOLAV,Lavage Uterus with 50ml DMSO in 1L Sterile Saline,49.92,59.90
UTELAV,Lavage Uterus with Sterile Isotonic Fluids,42.59,51.11
UTELAVSCH,Lavage Uterus with Sterile Isotonic Fluids (Scheme),0.00,0.00
PCRLAWSONIA,Lawsonia Facecal PCR (Rainbow Lab),44.00,52.80
LAWSBOT,Lawsonia Vaccination (per 100ml bottle of live Enterisol Ileitis vaccine),154.23,185.08
LAWSDOSE,Lawsonia Vaccination (per ml dose of live Enterisol Ileitis vaccine),1.54,1.85
LDH,LDH Blood Test (Rainbow Lab),12.50,15.00
LENOSOFT,Lenosoft Orthopaedic Padding 10cm x 2.7m (per pack of 12),22.14,26.57
LEPTOCANICOLA,Leptospira canicola Micro-Agglutination Test (MAT) (APHA),12.88,15.45
LEPTOICTEROHAEM,Leptospira icterohaemorrhagiae Micro-Agglutination Test (MAT) (APHA),16.27,19.53
LHTESTBOX,LH Testing Kit (per box of 6),111.02,133.22
LHTESTC,LH Testing Kit (per test),18.51,22.21
LIDOVIAL,Lidocaine 2% Injection (Local Anaesthetic) (per 20ml single use vial),8.37,10.04
LIDOBOX,Lidocaine 2% Injection (Local Anaesthetic) (per box of 10x 20ml ampoules),83.68,100.42
LIVERPCR,Liver Virus Blood PCR (Parvovirus & Hepacivirus),68.00,81.60
V1,Local Call-Out (V1) (up to 10 miles round trip),22.36,26.83
V2,Local Call-Out (V2) (11 to 20 miles round trip),33.28,39.94
LVUL,Low Volume Uterine Lavage for Culture & Cytology (incl sterile fluids & consumables),42.60,51.12
LOXICOMDOG32,Loxicom Dog (1.5mg/ml Meloxicam) Oral Suspension (per 32ml bottle),15.63,18.75
LOXICOMDOGDUALPACK,Loxicom Dog 1.5mg/ml Oral Suspension (2 x 100ml bottles),54.50,65.40
LOXICOMDOG100,Loxicom Dog 1.5mg/ml Oral Suspension (per 100ml bottle),29.25,35.10
LUTALYSEBOT,Lutalyse (Dinoprost) Prostaglandin (per 30ml bottle),53.78,64.54
LUTALYSEML,Lutalyse (Dinoprost) Prostaglandin (per ml),1.77,2.13
TRANSFOLL,Luteinise Transitional Follicle,51.74,62.09
MAGSULPH500G,Magnesium Sulphate Medical Grade Oral Salt (Epsom Salts) (per 500g dose),9.02,10.83
MAGSULPH5KG,Magnesium Sulphate Medical Grade Oral Salt (Epsom Salts) (per 5kg tub),90.21,108.25
MALASEB,Malaseb Shampoo 250ml,29.36,35.23
VAGEXAM,"Manual Examination of Vestibule, Vagina & Cervix",32.14,38.57
RECTAL,Manual Rectal Examination,45.50,54.60
CYSTREDUC,Manual Uterine Lymphatic Cyst Reduction,67.60,81.12
DRIP,Manually Administer Intravenous Fluids (per litre),23.40,28.08
MANUKA42,Manuka Honey (per 42.5g tube),8.98,10.78
MARBOXBOT,Marbofloxacin Injectable (per 100ml bottle),237.38,284.85
MARBOXML,Marbofloxacin Injectable (per ml),2.37,2.85
MILKREP10KG,Mare Milk Replacer (per 10Kg bag),107.03,107.03
HEALTHTESTSCH,"Mare Pre-Breeding EVA, EIA + Clitoral CEM Culture (incl sampling, lab fees & consumables)",0.00,0.00
MAXITROL,Maxitrol Eye Ointment,8.32,9.98
MEDEML,Medesedan (Detomidine 10mg/ml) Injectable (per ml),27.01,32.42
MEDBACK,Medicate Back,120.51,144.61
MEDCS,Medicate Carpal Sheath,72.31,86.77
MEDCOFF,Medicate Coffin Joint,59.70,71.64
MEDSHIN,Medicate Dorsal Cannon (Shin Bone),40.04,48.05
MEDFETLOCK,Medicate Fetlock Joint,59.80,71.76
MEDHOCK,Medicate Hock Joint (TMT),59.80,71.76
MEDKNEE,Medicate Knee Joint,59.72,71.66
MEDNAV,"Medicate Navicular Bursa (Includes Nerve Block, Xrays and Consumables)",212.90,255.48
MEDNECK,Medicate Neck Facet Joints Under US Guidance,278.50,334.20
MEDPAST,Medicate Pastern Joint,85.16,102.19
MEDSI,Medicate Sacro-Iliac Joints,152.11,182.53
MEDST,Medicate Soft Tissue (drugs and consumables included),40.04,48.05
MEDSTIFLE,Medicate Stifle Joint,73.65,88.38
TMJ,Medicate Temporomandibular Joint (TMJ),73.91,88.69
MEDTS,Medicate Tendon Sheath,73.65,88.38
MELOLIN10BOX,Melolin 10cm x 10cm Sterile Non-Adhesive Dressing (per 100 pack),172.50,207.00
MELOLIN10C,Melolin 10cm x 10cm Sterile Non-Adhesive Dressing (per dressing),1.73,2.07
MELOLIN20BOX,Melolin 10cm x 20cm Sterile Non-Adhesive Dressing (per 100 pack),177.42,212.90
MELOLIN20C,Melolin 10cm x 20cm Sterile Non-Adhesive Dressing (per dressing),1.77,2.13
MEPIDBOX,Mepidor (Mepivacaine 2%) Injectable (per box of 6x 10ml vials) (Local Anaesthetic),136.95,164.34
MEPIDML,Mepidor (Mepivacaine 2%) Injectable (per ml),2.29,2.74
METACAMBOT,Metacam (Meloxicam 20mg/ml) Injectable (per 50ml bottle),31.46,37.75
METACAMML,Metacam (Meloxicam 20mg/ml) Injectable (per ml),0.63,0.75
METOCLOPTAB,Metaclopramide 10mg (per tablet),0.98,1.18
METOCLOPBOX,Metoclopramide 10mg Tablets (per box of 28 tablets),27.54,33.05
METRONIDBOX,Metronidazole 400mg Oral (per box of 21 tablets),11.64,13.97
METRONIDTAB,Metronidazole 400mg Oral (per tablet),0.55,0.66
MICROCHIPDOG,Microchip Dog,28.08,33.70
MICROCHIPEQ,Microchip Horse/Foal (Homeagain Classic),34.06,40.88
MICROCHIPEQTHERMO,Microchip Horse/Foal (Homeagain Thermochip),45.07,54.09
MS,Microscope slide (per pack of 50 slides),2.59,3.11
MICROSCOPYREH,Microscopy (Rainbow Lab),25.00,30.00
SPINENEEDMILA,MILA 18G 20cm Echo-Tipped Spinal Needle,32.50,39.00
MILBEMAXDOGBOX4,Milbemax Dog (5-25kg) (per box of 4 x 125mg tablets),9.15,10.98
MINORPROCED,Minor Procedures (per 15 mins),101.76,122.11
MONOCRYL0BOX,Monocryl Sutures USP 0 (Ethicon) (per pack of 12),130.18,156.22
MONOCRYL0C,Monocryl Sutures USP 0 (Ethicon) (per suture),10.84,13.01
MONOCRYL20BOX,Monocryl Sutures USP 2-0 (Ethicon) (per 12 pack),113.76,136.51
MONOCRYL20C,Monocryl Sutures USP 2-0 (Ethicon) (per suture),9.48,11.37
MUDFEVERCREAM250,"Mud Fever Cream (per 50g pot) (Nitrofurazone 2mg/g, Neomycin Sulphate 5.5mg/g, Prednisolone 2.5mg/g)",31.20,37.44
MYCOPLASMACANISCULT,Mycoplasma canis Culture/PCR (APHA),123.60,148.32
MYCOTOXSAMP,"Mycotoxin Forage Sampling, Processing, Packaging, International Shipping & Interpretation",39.74,47.69
MYORELAXBOT,Myorelax Guaifenesin (GGE) 100mg/ml (per bottle),133.66,160.39
TUBECHOKE,Nasogastric Lavage of Oesophageal Choke,68.29,81.95
CONSULTNEO,Neonatal Foal Consultation,51.48,61.78
CONSULTNEOPROLONG,Neonatal Foal Consultation Prolonged,78.00,93.60
NBABAX,Nerve Block - Abaxial Sesamoid,58.92,70.70
NBDEEPBRANCH,Nerve Block - Deep Branch,58.92,70.70
NBHIGH4,Nerve Block - High 4 Point,62.40,74.88
NBLOW4,Nerve Block - Low 4 Point,62.40,74.88
NBPD,Nerve Block - Palmar Digital,58.92,70.70
NBTS,Nerve Block Tendon Sheath,73.65,88.38
NEXGARDCOMBOCAT,Nexgard Combo Cat 2.5-7.5kg (per pack of 3 pipettes),24.78,29.74
POSTNEXTDAYSAI,Next Day Delivery on Purchase,30.00,36.00
NOBIVACBOX,Nobivac KC (per 5x 1ml vial),139.72,167.66
NOBIVACL4BOX,Nobivac L4 (per 10x 1ml vial),356.04,427.25
NOROCLAV500BOX,Noroclav 500mg (per box of 100 tablets),63.84,76.60
NOROCLAV500TAB,Noroclav 500mg (per tablet),0.64,0.77
NOROCLAV50BOX,Noroclav 50mg (per box of 100 tablets),25.71,30.85
NOROCLAV50TAB,Noroclav 50mg (per tablet),0.26,0.31
NORODINESYR,Norodine (TMPS) Oral Paste (per 45g syringe),7.49,8.99
NORODINEBOX,Norodine (TMPS) Oral Paste (per box of 3x 45g syringe),22.48,26.98
