Code,Description,Sell Price Exc. VAT,Sell Price Inc. VAT
AQUPH3H,Aqupharm 11 Sterile Isotonic Hartmanns Solution (per 3 litre bag),33.02,39.62
AQUPH5H,Aqupharm 11 Sterile Isotonic Hartmanns Solution (per 5 litre bag),40.28,48.34
AQUPH500SAL,Aqupharm No 1 Sterile Saline (per 500ml bag),6.33,7.59
ARTHRAMID,Arthramid Intra-Articular Gel (per box of 1ml syringe),277.98,333.58
ASPIRATELN,Aspirate Sample From Lymph Node,45.53,54.64
ASPIRIN250,Aspirin Oral Powder 100% (per 250g tub),46.80,56.16
SPECBUNDLE,Assess Vagina and Cervix via Speculum Examination,0.00,0.00
SPECEXAM,Assess Vagina and Cervix via Speculum Examination,29.47,35.36
ATIPAZBOT,Atipazole (Atipamezole) Injectable (per 10ml bottle),109.37,131.25
ATIPAZOLEML,Atipazole (Atipamezole) Injectable (per ml),10.94,13.12
ATROPBOX,Atropine Sulph 1% Minim (per box of 20 vials),74.66,89.59
ATROPMIN,Atropine Sulphate 1% per vial,3.73,4.48
BACTIVATEBOT,Bactivate Intrauterine Infusion growth medium 10ml vial,199.00,238.80
BACTIVATEBUNDLE,Bactivate Intrauterine Infusion Procedure incl consumables,0.00,0.00
BANDAGE,Bandage Affected Area (includes bandages and dressings),0.00,0.00
BANDLOWLIMB,Bandage Lower Limb,22.88,27.46
BARBSUTBOX,Barber of Sheffield Suture Needles (pack of 12),3.03,3.64
BARBSUT1,Barber of Sheffield Suture Needles (per needle),0.25,0.30
BDA14,BD Angiocath 14G Short-Stay Catheter 3.25in,12.08,14.50
BDA16,BD Angiocath 16G Short-Stay Catheter,7.88,9.46
SPINENEED3.5BOX,BD Quincke 18G 3.5 Inch Spinal Needle (per box of 25,105.00,126.00
SPINENEEDBD3.5,BD Quincke 18G 3.5 Inch Spinal Needle (per needle),4.20,5.04
SPINENEEDBD6BOX,BD Quincke 18G 6 Inch Spinal Needle (per box of 10),129.68,155.62
SPINENEEDBD6C,BD Quincke 18G 6 Inch Spinal Needle (per needle),12.97,15.56
BETNOCRM,Betnovate Cream (per 100g tube),18.86,22.63
BETNOOINT,Betnovate Ointment (per 100g tube),13.25,15.90
BLOODBILEACIDS,Bile Acids Blood Test (Rainbow Lab),12.50,15.00
BILIRUBIN,Bilirubin Blood Test (Rainbow Lab),12.50,15.00
BP,Biopsy Punch (per single punch),4.22,5.06
DISCBITCHPROG,Bitch Progesterone Blood Test (Discount),54.60,65.52
BITCHBLOODSAMPPROG,Bitch Progesterone Blood Test (includes blood sampling fee),67.60,81.12
BLOCKCS,Block Carpal Sheath,72.31,86.77
JBCOFF,Block Coffin Joint,59.72,71.66
JBPAST,Block Pastern Joint,85.16,102.19
JBSTIFLE,Block Stifle Joint,72.31,86.77
BGS,Blood Administration Set (with filter) (per set),8.85,10.63
BCT,Blood Collection Tube No Additive (per 100),16.61,19.93
LACTATE,Blood Sample and Test Blood Lactate,17.42,20.90
BSTG,Blood Sample Collection Tubes GREEN,19.99,23.99
BSTP,Blood Sample Collection Tubes PURPLE,15.79,18.95
BSTR,Blood Sample Collection Tubes RED,15.99,19.19
AMH,Blood Test Anti-Mullerian Hormone (AMH) (Rainbow Lab),53.00,63.60
AST,Blood Test Aspartate Aminotransferase (AST) (Rainbow Lab),12.50,15.00
MUSCLE,Blood Test CK and AST Muscle Enzymes (Rainbow Lab),25.00,30.00
COPPER,Blood Test Copper,24.00,28.80
ELECTROLYTES,Blood Test Electrolytes (Rainbow Lab),44.00,52.80
ECGREH,Blood Test Equine Chorionic Gonadotrophin (eCG) (Rainbow Lab),33.00,39.60
BLOODGENERAL,Blood Test General Profile (Rainbow Lab),79.00,94.80
INFLAM,Blood Test Inflammatory Profile (Rainbow Lab),44.00,52.80
LAWSONIA,Blood Test Lawsonia Serology (Rainbow Lab),35.00,42.00
LIVER,Blood Test Liver Profile (Rainbow Lab),73.50,88.20
NEONAT,Blood Test Neonatal Profile (Rainbow Lab),64.00,76.80
PERFORM,Blood Test Performance Profile (Rainbow Lab),46.00,55.20
PSSM,Blood Test Polysaccharide Storage Myopathy (Rainbow Lab),82.00,98.40
REDWORM,Blood Test Redworm ELISA (Rainbow Lab),32.00,38.40
TAPEWORM,Blood Test Tapeworm ELISA (Rainbow Lab),32.00,38.40
FROZENSEMENARRIVALS,"Booking In Fee - Account Creation, Straw Inspection & Handling, Documentation)",78.00,93.60
BOZ1.5POUCH,Boz Merix 1.5 KG Pouch,260.50,260.50
